ProfID,soiltype,X,Y
P0996,Fluvisol,21.53823192,41.9507392
P1001,Fluvisol,21.54502872,41.93729123
P1003,Fluvisol,21.53683346,41.93500681
P1005,Fluvisol,21.54509413,41.92939442
P1017,Mollic Fluvisol,21.5862472,41.94785691
P1018,Mollic Fluvisol,21.59051638,41.93996557
P1020,Mollic Fluvisol,21.59853976,41.93649351
P1027,Fluvisol,21.60643816,41.90591053
P1029,Fluvisol,21.59964868,41.88363419
P1030,Populated Site,21.45742041,41.97630065
P1032,Populated Site,21.46661322,41.96942967
P1035,Populated Site,21.49386147,41.97319639
P1038,Populated Site,21.47726989,41.97792159
P1039,Populated Site,21.48318912,41.97877922
P1043,Fluvisol,21.50997382,41.95709893
P1049,Vertisol,21.4785038,41.96221359
P1053,Populated Site,21.43233531,41.95685029
P1055,Populated Site,21.58879294,41.98987418
P1058,Complex of Solonchak and Solonetz,21.57776923,41.98535622
P1067,Vertisol,21.61787759,41.96722058
P1070,Vertisol,21.64254571,41.9703896
P1072,Vertisol,21.64472357,41.96501106
P1077,Vertisol,21.63597271,41.94881678
P1084,Vertisol,21.6626242,41.93561933
P1091,Gleysol,21.61092505,41.91381928
P1095,Gleysol,21.64253381,41.89832193
P1097,Gleysol,21.65143084,41.89978448
P1099,Complex of Solonchak and Solonetz,21.63386305,41.91360491
P1105,Complex of Solonchak and Solonetz,21.62013004,41.92950891
P1107,Complex of Solonchak and Solonetz,21.60626608,41.93739839
P1113,Complex of Solonchak and Solonetz,21.59809906,41.95385544
P1125,Fluvisol,21.61651053,41.94305236
P1126,Fluvisol,21.62466179,41.94043317
P1127,Fluvisol,21.63395848,41.93298996
P1128,Fluvisol,21.62846123,41.93067014
P1129,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",21.6593212,41.9041064
P1137,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Vertisol",21.48333973,41.93484828
P1138,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Vertisol",21.45808743,41.92285943
P1139,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Vertisol",21.41416756,41.91195129
